poligono_id,fecha,poblacion_min,poblacion_estimada,poblacion_max,metodo
a_3_2_sector_b,2018-07,344,431,518,worldpop_escalado
a_3_2_sector_b,2019-07,490,613,736,worldpop_escalado
a_3_2_sector_b,2020-07,493,617,740,worldpop_escalado
a_3_2_sector_b,2021-07,615,769,923,worldpop_escalado
a_3_2_sector_b,2022-07,618,773,928,worldpop_escalado
a_3_2_sector_b,2023-07,644,806,968,worldpop_escalado
a_3_2_sector_b,2024-07,659,825,990,worldpop_escalado
a_3_2_sector_b,2025-07,662,828,994,worldpop_escalado
colonia_laosiana,2018-07,0,0,0,worldpop_escalado
colonia_laosiana,2019-07,106,134,161,worldpop_escalado
colonia_laosiana,2020-07,106,134,161,worldpop_escalado
colonia_laosiana,2021-07,106,134,161,worldpop_escalado
colonia_laosiana,2022-07,106,134,161,worldpop_escalado
colonia_laosiana,2023-07,106,134,161,worldpop_escalado
colonia_laosiana,2024-07,106,134,161,worldpop_escalado
colonia_laosiana,2025-07,106,134,161,worldpop_escalado
san_jorge,2018-07,1212,1516,1819,directo
san_jorge,2019-07,1330,1663,1996,directo
san_jorge,2020-07,1336,1670,2005,directo
san_jorge,2021-07,1342,1678,2014,directo
san_jorge,2022-07,1347,1685,2022,directo
san_jorge,2023-07,1368,1710,2052,directo
san_jorge,2024-07,1379,1724,2070,directo
san_jorge,2025-07,1379,1724,2070,directo
23_de_septiembre,2018-07,1054,1318,1583,worldpop_escalado
23_de_septiembre,2019-07,1308,1635,1963,worldpop_escalado
23_de_septiembre,2020-07,1358,1698,2038,worldpop_escalado
23_de_septiembre,2021-07,1456,1821,2186,worldpop_escalado
23_de_septiembre,2022-07,1507,1885,2262,worldpop_escalado
23_de_septiembre,2023-07,1546,1933,2320,worldpop_escalado
23_de_septiembre,2024-07,1608,2011,2414,worldpop_escalado
23_de_septiembre,2025-07,1647,2060,2472,worldpop_escalado
villa_mola,2018-07,1259,1574,1889,worldpop_escalado
villa_mola,2019-07,1471,1839,2207,worldpop_escalado
villa_mola,2020-07,1499,1875,2250,worldpop_escalado
villa_mola,2021-07,1570,1963,2356,worldpop_escalado
villa_mola,2022-07,1612,2016,2420,worldpop_escalado
villa_mola,2023-07,1725,2157,2589,worldpop_escalado
villa_mola,2024-07,1754,2193,2632,worldpop_escalado
villa_mola,2025-07,1782,2228,2674,worldpop_escalado
san_marcos,2018-07,620,775,931,worldpop_escalado
san_marcos,2019-07,858,1073,1288,worldpop_escalado
san_marcos,2020-07,885,1107,1329,worldpop_escalado
san_marcos,2021-07,991,1239,1487,worldpop_escalado
san_marcos,2022-07,1018,1273,1529,worldpop_escalado
san_marcos,2023-07,1101,1377,1653,worldpop_escalado
san_marcos,2024-07,1195,1495,1794,worldpop_escalado
san_marcos,2025-07,1245,1557,1869,worldpop_escalado
las_dolores,2018-07,1052,1315,1579,worldpop_escalado
las_dolores,2019-07,1118,1398,1679,worldpop_escalado
las_dolores,2020-07,1118,1398,1679,worldpop_escalado
las_dolores,2021-07,1218,1523,1828,worldpop_escalado
las_dolores,2022-07,1242,1554,1865,worldpop_escalado
las_dolores,2023-07,1259,1574,1890,worldpop_escalado
las_dolores,2024-07,1300,1626,1952,worldpop_escalado
las_dolores,2025-07,1334,1668,2002,worldpop_escalado
el_palomar,2018-07,2527,3159,3791,worldpop_escalado
el_palomar,2019-07,2791,3489,4188,worldpop_escalado
el_palomar,2020-07,2832,3541,4249,worldpop_escalado
el_palomar,2021-07,2933,3667,4401,worldpop_escalado
el_palomar,2022-07,2961,3702,4443,worldpop_escalado
el_palomar,2023-07,3010,3763,4516,worldpop_escalado
el_palomar,2024-07,3085,3857,4629,worldpop_escalado
el_palomar,2025-07,3098,3873,4649,worldpop_escalado
alta_gracia,2018-07,1652,2066,2479,worldpop_escalado
alta_gracia,2019-07,2268,2836,3404,worldpop_escalado
alta_gracia,2020-07,2422,3028,3635,worldpop_escalado
alta_gracia,2021-07,2667,3335,4002,worldpop_escalado
alta_gracia,2022-07,2737,3422,4107,worldpop_escalado
alta_gracia,2023-07,3003,3755,4506,worldpop_escalado
alta_gracia,2024-07,3186,3983,4780,worldpop_escalado
alta_gracia,2025-07,3298,4123,4948,worldpop_escalado
santa_rita,2018-07,1375,1719,2064,worldpop_escalado
santa_rita,2019-07,1828,2286,2744,worldpop_escalado
santa_rita,2020-07,1903,2379,2856,worldpop_escalado
santa_rita,2021-07,2065,2582,3099,worldpop_escalado
santa_rita,2022-07,2099,2624,3149,worldpop_escalado
santa_rita,2023-07,2199,2750,3300,worldpop_escalado
santa_rita,2024-07,2302,2879,3455,worldpop_escalado
santa_rita,2025-07,2323,2904,3486,worldpop_escalado
san_martin,2018-07,1983,2480,2976,worldpop_escalado
san_martin,2019-07,2562,3203,3844,worldpop_escalado
san_martin,2020-07,2761,3452,4143,worldpop_escalado
san_martin,2021-07,3178,3973,4768,worldpop_escalado
san_martin,2022-07,3260,4076,4892,worldpop_escalado
san_martin,2023-07,3392,4240,5089,worldpop_escalado
san_martin,2024-07,3615,4520,5424,worldpop_escalado
san_martin,2025-07,3680,4600,5521,worldpop_escalado
villa_sarita,2018-07,2025,2532,3038,worldpop_escalado
villa_sarita,2019-07,2259,2824,3389,worldpop_escalado
villa_sarita,2020-07,2305,2881,3458,worldpop_escalado
villa_sarita,2021-07,2399,3000,3600,worldpop_escalado
villa_sarita,2022-07,2447,3059,3672,worldpop_escalado
villa_sarita,2023-07,2498,3123,3748,worldpop_escalado
villa_sarita,2024-07,2538,3174,3809,worldpop_escalado
villa_sarita,2025-07,2556,3196,3836,worldpop_escalado
el_brete,2018-07,1271,1589,1908,worldpop_escalado
el_brete,2019-07,1610,2013,2416,worldpop_escalado
el_brete,2020-07,1654,2068,2482,worldpop_escalado
el_brete,2021-07,1806,2258,2711,worldpop_escalado
el_brete,2022-07,1844,2305,2767,worldpop_escalado
el_brete,2023-07,1917,2397,2877,worldpop_escalado
el_brete,2024-07,2017,2522,3027,worldpop_escalado
el_brete,2025-07,2080,2601,3121,worldpop_escalado
luis_piedrabuena,2018-07,1379,1724,2070,worldpop_escalado
luis_piedrabuena,2019-07,1846,2308,2770,worldpop_escalado
luis_piedrabuena,2020-07,1892,2366,2839,worldpop_escalado
luis_piedrabuena,2021-07,2056,2571,3085,worldpop_escalado
luis_piedrabuena,2022-07,2112,2641,3170,worldpop_escalado
luis_piedrabuena,2023-07,2246,2808,3370,worldpop_escalado
luis_piedrabuena,2024-07,2374,2968,3562,worldpop_escalado
luis_piedrabuena,2025-07,2451,3064,3678,worldpop_escalado
san_lucas,2018-07,874,1093,1313,worldpop_escalado
san_lucas,2019-07,1222,1528,1834,worldpop_escalado
san_lucas,2020-07,1318,1648,1978,worldpop_escalado
san_lucas,2021-07,1467,1835,2202,worldpop_escalado
san_lucas,2022-07,1521,1902,2283,worldpop_escalado
san_lucas,2023-07,1845,2307,2768,worldpop_escalado
san_lucas,2024-07,1989,2486,2984,worldpop_escalado
san_lucas,2025-07,2090,2614,3137,worldpop_escalado
monsenor_kemerer,2018-07,1741,2176,2612,worldpop_escalado
monsenor_kemerer,2019-07,2078,2598,3118,worldpop_escalado
monsenor_kemerer,2020-07,2150,2688,3226,worldpop_escalado
monsenor_kemerer,2021-07,2328,2910,3493,worldpop_escalado
monsenor_kemerer,2022-07,2399,3000,3600,worldpop_escalado
monsenor_kemerer,2023-07,2504,3130,3757,worldpop_escalado
monsenor_kemerer,2024-07,2631,3289,3947,worldpop_escalado
monsenor_kemerer,2025-07,2706,3383,4061,worldpop_escalado
rocamora,2018-07,1885,2357,2829,worldpop_escalado
rocamora,2019-07,2209,2761,3314,worldpop_escalado
rocamora,2020-07,2280,2850,3421,worldpop_escalado
rocamora,2021-07,2414,3019,3623,worldpop_escalado
rocamora,2022-07,2476,3096,3715,worldpop_escalado
rocamora,2023-07,2561,3202,3842,worldpop_escalado
rocamora,2024-07,2717,3396,4076,worldpop_escalado
rocamora,2025-07,2730,3413,4096,worldpop_escalado
yacyreta,2018-07,1727,2159,2591,worldpop_escalado
yacyreta,2019-07,2392,2990,3589,worldpop_escalado
yacyreta,2020-07,2540,3176,3812,worldpop_escalado
yacyreta,2021-07,2954,3693,4432,worldpop_escalado
yacyreta,2022-07,3048,3811,4574,worldpop_escalado
yacyreta,2023-07,3168,3961,4754,worldpop_escalado
yacyreta,2024-07,3551,4439,5327,worldpop_escalado
yacyreta,2025-07,3614,4518,5422,worldpop_escalado
villa_urquiza,2018-07,2958,3698,4438,worldpop_escalado
villa_urquiza,2019-07,3457,4322,5187,worldpop_escalado
villa_urquiza,2020-07,3585,4482,5379,worldpop_escalado
villa_urquiza,2021-07,3836,4796,5755,worldpop_escalado
villa_urquiza,2022-07,3870,4838,5806,worldpop_escalado
villa_urquiza,2023-07,3985,4982,5979,worldpop_escalado
villa_urquiza,2024-07,4116,5145,6175,worldpop_escalado
villa_urquiza,2025-07,4134,5168,6202,worldpop_escalado
complejo_habitacional_virgen_de_fatima,2018-07,1355,1695,2034,worldpop_escalado
complejo_habitacional_virgen_de_fatima,2019-07,1735,2169,2603,worldpop_escalado
complejo_habitacional_virgen_de_fatima,2020-07,1816,2271,2725,worldpop_escalado
complejo_habitacional_virgen_de_fatima,2021-07,1914,2394,2873,worldpop_escalado
complejo_habitacional_virgen_de_fatima,2022-07,1948,2436,2924,worldpop_escalado
complejo_habitacional_virgen_de_fatima,2023-07,2013,2516,3020,worldpop_escalado
complejo_habitacional_virgen_de_fatima,2024-07,2050,2563,3076,worldpop_escalado
complejo_habitacional_virgen_de_fatima,2025-07,2104,2631,3158,worldpop_escalado
a4_nueva_esperanza,2018-07,976,1220,1465,worldpop_escalado
a4_nueva_esperanza,2019-07,1281,1602,1923,worldpop_escalado
a4_nueva_esperanza,2020-07,1293,1617,1941,worldpop_escalado
a4_nueva_esperanza,2021-07,1399,1749,2100,worldpop_escalado
a4_nueva_esperanza,2022-07,1422,1779,2135,worldpop_escalado
a4_nueva_esperanza,2023-07,1422,1779,2135,worldpop_escalado
a4_nueva_esperanza,2024-07,1458,1823,2188,worldpop_escalado
a4_nueva_esperanza,2025-07,1458,1823,2188,worldpop_escalado
el_laurel,2018-07,488,611,734,worldpop_escalado
el_laurel,2019-07,795,995,1194,worldpop_escalado
el_laurel,2020-07,864,1080,1297,worldpop_escalado
el_laurel,2021-07,943,1180,1416,worldpop_escalado
el_laurel,2022-07,989,1236,1484,worldpop_escalado
el_laurel,2023-07,1023,1279,1535,worldpop_escalado
el_laurel,2024-07,1080,1350,1621,worldpop_escalado
el_laurel,2025-07,1114,1393,1672,worldpop_escalado
cima_del_sol,2018-07,1385,1732,2078,worldpop_escalado
cima_del_sol,2019-07,1537,1921,2306,worldpop_escalado
cima_del_sol,2020-07,1669,2087,2505,worldpop_escalado
cima_del_sol,2021-07,1935,2419,2904,worldpop_escalado
cima_del_sol,2022-07,1973,2467,2961,worldpop_escalado
cima_del_sol,2023-07,2163,2704,3245,worldpop_escalado
cima_del_sol,2024-07,2296,2870,3445,worldpop_escalado
cima_del_sol,2025-07,2352,2941,3530,worldpop_escalado
san_isidro,2018-07,1070,1338,1606,worldpop_escalado
san_isidro,2019-07,1296,1620,1945,worldpop_escalado
san_isidro,2020-07,1372,1715,2059,worldpop_escalado
san_isidro,2021-07,1518,1899,2279,worldpop_escalado
san_isidro,2022-07,1533,1917,2301,worldpop_escalado
san_isidro,2023-07,1604,2005,2407,worldpop_escalado
san_isidro,2024-07,1647,2060,2472,worldpop_escalado
san_isidro,2025-07,1680,2100,2521,worldpop_escalado
lomas_de_garupa,2018-07,1111,1389,1668,worldpop_escalado
lomas_de_garupa,2019-07,1495,1870,2244,worldpop_escalado
lomas_de_garupa,2020-07,1630,2038,2447,worldpop_escalado
lomas_de_garupa,2021-07,1734,2168,2602,worldpop_escalado
lomas_de_garupa,2022-07,1900,2376,2852,worldpop_escalado
lomas_de_garupa,2023-07,2004,2506,3007,worldpop_escalado
lomas_de_garupa,2024-07,2046,2558,3070,worldpop_escalado
lomas_de_garupa,2025-07,2139,2675,3210,worldpop_escalado
santa_helena,2018-07,1018,1273,1528,worldpop_escalado
santa_helena,2019-07,1176,1470,1765,worldpop_escalado
santa_helena,2020-07,1210,1513,1816,worldpop_escalado
santa_helena,2021-07,1313,1642,1971,worldpop_escalado
santa_helena,2022-07,1330,1663,1996,worldpop_escalado
santa_helena,2023-07,1377,1721,2066,worldpop_escalado
santa_helena,2024-07,1420,1776,2132,worldpop_escalado
santa_helena,2025-07,1453,1817,2180,worldpop_escalado
fatima,2018-07,1218,1523,1828,worldpop_escalado
fatima,2019-07,1574,1968,2362,worldpop_escalado
fatima,2020-07,1671,2089,2507,worldpop_escalado
fatima,2021-07,1832,2291,2750,worldpop_escalado
fatima,2022-07,1908,2386,2863,worldpop_escalado
fatima,2023-07,2048,2561,3073,worldpop_escalado
fatima,2024-07,2210,2763,3316,worldpop_escalado
fatima,2025-07,2328,2911,3494,worldpop_escalado
don_santiago,2018-07,292,365,439,worldpop_escalado
don_santiago,2019-07,525,657,789,worldpop_escalado
don_santiago,2020-07,552,691,830,worldpop_escalado
don_santiago,2021-07,602,753,904,worldpop_escalado
don_santiago,2022-07,620,775,931,worldpop_escalado
don_santiago,2023-07,633,792,951,worldpop_escalado
don_santiago,2024-07,705,882,1059,worldpop_escalado
don_santiago,2025-07,732,916,1100,worldpop_escalado
nu_pora,2018-07,1214,1519,1823,worldpop_escalado
nu_pora,2019-07,1991,2489,2987,worldpop_escalado
nu_pora,2020-07,2104,2630,3157,worldpop_escalado
nu_pora,2021-07,2316,2896,3476,worldpop_escalado
nu_pora,2022-07,2392,2990,3589,worldpop_escalado
nu_pora,2023-07,2561,3201,3842,worldpop_escalado
nu_pora,2024-07,2723,3405,4086,worldpop_escalado
nu_pora,2025-07,2893,3616,4340,worldpop_escalado
miguel_lanus,2018-07,3296,4120,4945,worldpop_escalado
miguel_lanus,2019-07,4768,5961,7153,worldpop_escalado
miguel_lanus,2020-07,5052,6316,7579,worldpop_escalado
miguel_lanus,2021-07,5762,7203,8644,worldpop_escalado
miguel_lanus,2022-07,5964,7456,8947,worldpop_escalado
miguel_lanus,2023-07,6412,8016,9620,worldpop_escalado
miguel_lanus,2024-07,6719,8399,10080,worldpop_escalado
miguel_lanus,2025-07,6943,8679,10416,worldpop_escalado
norte,2018-07,86,108,130,directo
norte,2019-07,109,137,165,directo
norte,2020-07,118,148,178,directo
norte,2021-07,152,191,229,directo
norte,2022-07,155,194,234,directo
norte,2023-07,161,202,242,directo
norte,2024-07,181,227,273,directo
norte,2025-07,198,248,299,directo
centro,2018-07,8866,11083,13300,worldpop_escalado
centro,2019-07,9636,12046,14456,worldpop_escalado
centro,2020-07,9749,12187,14625,worldpop_escalado
centro,2021-07,10008,12510,15013,worldpop_escalado
centro,2022-07,10064,12581,15098,worldpop_escalado
centro,2023-07,10170,12713,15256,worldpop_escalado
centro,2024-07,10352,12941,15530,worldpop_escalado
centro,2025-07,10391,12989,15587,worldpop_escalado
complejo_gervasio_artigas,2018-07,1059,1325,1590,directo
complejo_gervasio_artigas,2019-07,1342,1678,2014,directo
complejo_gervasio_artigas,2020-07,1402,1753,2104,directo
complejo_gervasio_artigas,2021-07,1500,1876,2251,directo
complejo_gervasio_artigas,2022-07,1517,1897,2277,directo
complejo_gervasio_artigas,2023-07,1589,1987,2385,directo
complejo_gervasio_artigas,2024-07,1612,2016,2420,directo
complejo_gervasio_artigas,2025-07,1644,2056,2467,directo
federal,2018-07,14,18,22,directo
federal,2019-07,23,29,35,directo
federal,2020-07,28,36,44,directo
federal,2021-07,37,47,57,directo
federal,2022-07,37,47,57,directo
federal,2023-07,37,47,57,directo
federal,2024-07,40,50,61,directo
federal,2025-07,40,50,61,directo
nemesio_parma,2018-07,0,0,0,directo
nemesio_parma,2019-07,0,0,0,directo
nemesio_parma,2020-07,0,0,0,directo
nemesio_parma,2021-07,0,0,0,directo
nemesio_parma,2022-07,0,0,0,directo
nemesio_parma,2023-07,0,0,0,directo
nemesio_parma,2024-07,0,0,0,directo
nemesio_parma,2025-07,0,0,0,directo
villa_cabello,2018-07,6569,8212,9855,worldpop_escalado
villa_cabello,2019-07,8101,10127,12153,worldpop_escalado
villa_cabello,2020-07,8338,10423,12508,worldpop_escalado
villa_cabello,2021-07,8952,11191,13430,worldpop_escalado
villa_cabello,2022-07,9089,11361,13634,worldpop_escalado
villa_cabello,2023-07,9383,11729,14075,worldpop_escalado
villa_cabello,2024-07,9906,12383,14861,worldpop_escalado
villa_cabello,2025-07,10007,12509,15011,worldpop_escalado
itaembe_pora,2018-07,4879,6099,7320,worldpop_escalado
itaembe_pora,2019-07,5939,7425,8910,worldpop_escalado
itaembe_pora,2020-07,6153,7692,9231,worldpop_escalado
itaembe_pora,2021-07,6823,8529,10235,worldpop_escalado
itaembe_pora,2022-07,6902,8628,10354,worldpop_escalado
itaembe_pora,2023-07,7179,8975,10770,worldpop_escalado
itaembe_pora,2024-07,7520,9400,11281,worldpop_escalado
itaembe_pora,2025-07,7633,9542,11451,worldpop_escalado
itaembe_mini,2018-07,2357,2947,3537,worldpop_escalado
itaembe_mini,2019-07,2862,3578,4294,worldpop_escalado
itaembe_mini,2020-07,2974,3718,4463,worldpop_escalado
itaembe_mini,2021-07,3308,4136,4964,worldpop_escalado
itaembe_mini,2022-07,3350,4188,5026,worldpop_escalado
itaembe_mini,2023-07,3485,4357,5229,worldpop_escalado
itaembe_mini,2024-07,3662,4578,5494,worldpop_escalado
itaembe_mini,2025-07,3729,4662,5595,worldpop_escalado
aguas_corrientes,2018-07,8590,10738,12886,worldpop_escalado
aguas_corrientes,2019-07,9867,12335,14802,worldpop_escalado
aguas_corrientes,2020-07,10109,12636,15164,worldpop_escalado
aguas_corrientes,2021-07,10488,13110,15733,worldpop_escalado
aguas_corrientes,2022-07,10604,13255,15907,worldpop_escalado
aguas_corrientes,2023-07,10834,13543,16252,worldpop_escalado
aguas_corrientes,2024-07,11211,14014,16818,worldpop_escalado
aguas_corrientes,2025-07,11305,14132,16959,worldpop_escalado
chacra_32,2018-07,12638,15798,18958,worldpop_escalado
chacra_32,2019-07,15436,19296,23156,worldpop_escalado
chacra_32,2020-07,16023,20029,24035,worldpop_escalado
chacra_32,2021-07,17464,21830,26197,worldpop_escalado
chacra_32,2022-07,17891,22365,26838,worldpop_escalado
chacra_32,2023-07,18477,23097,27717,worldpop_escalado
chacra_32,2024-07,19228,24036,28844,worldpop_escalado
chacra_32,2025-07,19471,24339,29208,worldpop_escalado
bajada_vieja,2018-07,1767,2210,2652,worldpop_escalado
bajada_vieja,2019-07,2013,2517,3021,worldpop_escalado
bajada_vieja,2020-07,2123,2654,3185,worldpop_escalado
bajada_vieja,2021-07,2280,2850,3421,worldpop_escalado
bajada_vieja,2022-07,2290,2863,3437,worldpop_escalado
bajada_vieja,2023-07,2342,2929,3515,worldpop_escalado
bajada_vieja,2024-07,2416,3020,3625,worldpop_escalado
bajada_vieja,2025-07,2426,3033,3640,worldpop_escalado
villa_bonita,2018-07,4826,6033,7240,worldpop_escalado
villa_bonita,2019-07,6414,8019,9623,worldpop_escalado
villa_bonita,2020-07,6681,8351,10022,worldpop_escalado
villa_bonita,2021-07,7222,9028,10834,worldpop_escalado
villa_bonita,2022-07,7444,9305,11167,worldpop_escalado
villa_bonita,2023-07,7932,9915,11899,worldpop_escalado
villa_bonita,2024-07,8437,10547,12657,worldpop_escalado
villa_bonita,2025-07,8730,10913,13096,worldpop_escalado
itaembe_guazu,2018-07,19736,24671,29605,directo
itaembe_guazu,2019-07,22057,27572,33087,directo
itaembe_guazu,2020-07,22377,27972,33567,directo
itaembe_guazu,2021-07,24140,30175,36211,directo
itaembe_guazu,2022-07,25787,32234,38682,directo
itaembe_guazu,2023-07,26015,32519,39023,directo
itaembe_guazu,2024-07,26038,32548,39058,directo
itaembe_guazu,2025-07,26043,32555,39066,directo
