poligono_id,area_km2,dist_caps_m,dist_escuela_m,dist_hospital_m,dist_transporte_m,n_caps_dentro,n_escuela_dentro,n_hospital_dentro,n_transporte_dentro,densidad_caps_km2,densidad_escuela_km2,densidad_transporte_km2,fuente_caps,fuente_hospital,fuente_escuela,fuente_transporte
a_3_2_sector_b,0.1428,462.6,263.7,885.1,68.8,0,1,0,18,0.0,7.004,126.063,osm,osm,osm,osm
colonia_laosiana,0.2414,615.9,897.6,956.7,582.7,0,0,0,0,0.0,0.0,0.0,osm,osm,osm,osm
san_jorge,0.1532,32.5,152.8,2224.5,427.9,0,3,0,0,0.0,19.578,0.0,osm,osm,osm,osm
23_de_septiembre,0.2537,800.7,29.0,1369.7,144.0,0,4,0,4,0.0,15.769,15.769,osm,osm,osm,osm
villa_mola,0.3609,307.8,399.9,1264.2,316.2,2,0,0,4,5.541,0.0,11.082,osm,osm,osm,osm
san_marcos,0.3511,350.6,142.8,1948.2,325.9,0,2,0,5,0.0,5.697,14.242,osm,osm,osm,osm
las_dolores,0.5482,641.6,401.7,1794.8,409.9,0,0,0,8,0.0,0.0,14.594,osm,osm,osm,osm
el_palomar,0.546,422.0,45.8,705.8,334.6,0,5,0,10,0.0,9.158,18.316,osm,osm,osm,osm
alta_gracia,0.6146,54.8,80.9,2919.1,366.5,1,3,0,10,1.627,4.881,16.27,osm,osm,osm,osm
santa_rita,0.5904,164.9,149.9,1941.1,164.0,2,3,0,16,3.388,5.081,27.1,osm,osm,osm,osm
san_martin,0.6548,485.2,348.3,2874.5,125.3,1,0,0,13,1.527,0.0,19.855,osm,osm,osm,osm
villa_sarita,0.5456,117.8,72.1,2813.7,170.8,6,1,0,13,10.998,1.833,23.829,osm,osm,osm,osm
el_brete,0.4509,163.5,183.9,3537.3,40.9,1,3,0,8,2.218,6.653,17.742,osm,osm,osm,osm
luis_piedrabuena,0.7122,211.0,319.0,2544.1,351.7,2,2,0,10,2.808,2.808,14.041,osm,osm,osm,osm
san_lucas,0.5748,393.4,342.2,1637.8,386.6,0,3,0,1,0.0,5.219,1.74,osm,osm,osm,osm
monsenor_kemerer,0.6168,639.6,543.1,1139.0,275.1,0,0,0,3,0.0,0.0,4.864,osm,osm,osm,osm
rocamora,0.5051,227.4,144.7,2077.1,31.2,3,10,0,16,5.939,19.797,31.676,osm,osm,osm,osm
yacyreta,0.6304,43.9,82.0,2488.9,163.8,2,8,0,13,3.172,12.69,20.621,osm,osm,osm,osm
villa_urquiza,0.7483,293.4,32.1,460.1,53.2,2,9,0,19,2.673,12.027,25.391,osm,osm,osm,osm
complejo_habitacional_virgen_de_fatima,0.7998,906.8,96.6,467.7,206.6,0,13,2,27,0.0,16.254,33.758,osm,osm,osm,osm
a4_nueva_esperanza,0.5703,345.8,407.7,427.2,158.4,2,4,1,18,3.507,7.014,31.563,osm,osm,osm,osm
el_laurel,0.4742,849.7,259.4,2227.3,197.7,0,2,0,3,0.0,4.218,6.327,osm,osm,osm,osm
cima_del_sol,0.9122,715.0,522.9,679.1,469.2,0,1,0,7,0.0,1.096,7.674,osm,osm,osm,osm
san_isidro,0.6991,370.8,255.1,2625.2,352.6,1,6,0,8,1.43,8.582,11.443,osm,osm,osm,osm
lomas_de_garupa,0.8319,827.9,426.0,2126.7,262.4,0,2,0,0,0.0,2.404,0.0,osm,osm,osm,osm
santa_helena,0.9612,1413.1,328.2,3336.8,439.6,0,3,0,4,0.0,3.121,4.161,osm,osm,osm,osm
fatima,0.8423,718.0,372.6,240.8,309.4,2,4,0,1,2.374,4.749,1.187,osm,osm,osm,osm
don_santiago,0.2889,138.3,805.3,3293.6,135.8,2,0,0,8,6.922,0.0,27.687,osm,osm,osm,osm
nu_pora,0.9666,387.9,351.2,1175.2,325.1,1,4,0,18,1.035,4.138,18.622,osm,osm,osm,osm
miguel_lanus,1.9464,584.8,144.1,615.6,108.1,3,8,2,40,1.541,4.11,20.551,osm,osm,osm,osm
norte,2.6319,1358.2,873.3,5093.7,554.1,0,0,0,1,0.0,0.0,0.38,osm,osm,osm,osm
centro,2.0077,37.6,92.8,1651.6,175.9,74,82,0,97,36.858,40.843,48.314,osm,osm,osm,osm
complejo_gervasio_artigas,3.7102,1827.0,574.2,5567.5,1113.9,0,1,0,11,0.0,0.27,2.965,osm,osm,osm,osm
federal,2.713,3118.2,238.8,6866.2,2774.8,0,1,0,0,0.0,0.369,0.0,osm,osm,osm,osm
nemesio_parma,2.1381,556.3,1849.9,6407.8,406.1,1,0,0,5,0.468,0.0,2.338,osm,osm,osm,osm
villa_cabello,2.5904,284.3,126.5,303.1,132.7,4,20,2,50,1.544,7.721,19.302,osm,osm,osm,osm
itaembe_pora,2.7179,381.2,199.8,2274.0,218.6,3,11,0,37,1.104,4.047,13.613,osm,osm,osm,osm
itaembe_mini,1.2658,804.5,279.8,800.1,119.1,0,4,0,14,0.0,3.16,11.06,osm,osm,osm,osm
aguas_corrientes,2.092,138.1,57.9,1923.4,16.2,5,19,0,51,2.39,9.082,24.379,osm,osm,osm,osm
chacra_32,3.5579,232.0,55.6,2297.9,103.3,10,14,0,81,2.811,3.935,22.766,osm,osm,osm,osm
bajada_vieja,0.5662,71.9,327.1,2651.1,236.2,0,4,0,5,0.0,7.065,8.831,osm,osm,osm,osm
villa_bonita,2.4773,870.8,425.4,1970.7,235.5,0,6,0,26,0.0,2.422,10.495,osm,osm,osm,osm
itaembe_guazu,7.6417,1408.6,72.2,1022.2,602.1,2,20,2,15,0.262,2.617,1.963,osm,osm,osm,osm
posadas_completa,106.4597,424.1,776.0,1489.9,193.3,164,393,14,1334,1.54,3.692,12.531,osm,osm,osm,osm
