poligono_id,vulnerabilidad,uhi_verano,dist_caps_m,dist_escuela_m,dist_hospital_m,dist_transporte_m,vulnerabilidad_norm,uhi_verano_norm,acceso_servicios_norm,indice_prioridad,ranking
cit_villa_cabello,66.95,,2630.8,2183.7,3819.8,3464.4,1.0,0.5,0.7802,0.7841,1
la_eugenia,60.06,0.14,3856.9,770.0,7005.9,3717.3,0.8312,0.2625,0.8289,0.6599,2
porvenir_2,58.25,-0.19,3968.4,161.7,6574.8,144.2,0.7868,0.2288,0.5081,0.5358,3
federal,50.08,0.57,3118.2,238.8,6866.2,2774.8,0.5866,0.3064,0.6515,0.522,4
malvinas,44.85,,1221.5,775.3,6974.4,740.7,0.4585,0.5,0.4599,0.4714,5
santa_helena,45.73,3.84,1413.1,328.2,3336.8,439.6,0.48,0.6404,0.2654,0.4637,6
dm_miguel_lanus_sur,48.93,,1180.4,786.0,1358.4,746.6,0.5584,0.5,0.2514,0.4488,7
dm_itaembe_mini_este_suroeste,46.81,2.39,1576.8,364.5,3809.4,637.6,0.5065,0.4923,0.3109,0.4436,8
san_isidro,39.71,5.89,370.8,255.1,2625.2,352.6,0.3325,0.8498,0.1586,0.4355,9
complejo_gervasio_artigas,47.8,0.01,1827.0,574.2,5567.5,1113.9,0.5308,0.2492,0.4482,0.4215,10
el_portal,43.41,2.37,1087.8,455.2,4428.0,1087.0,0.4232,0.4903,0.3435,0.4194,11
a4_nueva_esperanza,35.44,7.36,345.8,407.7,427.2,158.4,0.2279,1.0,0.0803,0.4152,12
nemesio_parma,53.06,-2.38,556.3,1849.9,6407.8,406.1,0.6596,0.0051,0.4988,0.415,13
complejo_habitacional_virgen_de_fatima,39.94,5.32,906.8,96.6,467.7,206.6,0.3382,0.7916,0.0846,0.3981,14
norte,48.15,-0.74,1358.2,873.3,5093.7,554.1,0.5393,0.1726,0.3978,0.3868,15
puerto_canela,46.91,0.84,1298.8,1171.7,1184.6,369.4,0.5089,0.334,0.2718,0.3853,16
a_3_2_sector_b,39.88,4.87,462.6,263.7,885.1,68.8,0.3367,0.7457,0.0819,0.383,17
itaembe_guazu,42.61,3.03,1408.6,72.2,1022.2,602.1,0.4036,0.5577,0.1609,0.377,18
don_santiago,41.55,2.79,138.3,805.3,3293.6,135.8,0.3776,0.5332,0.2177,0.3763,19
los_patitos,45.67,0.87,733.7,693.7,1979.2,1265.8,0.4786,0.3371,0.2703,0.3737,20
villa_bonita,40.06,3.45,870.8,425.4,1970.7,235.5,0.3411,0.6006,0.178,0.37,21
villa_dolores,37.59,4.33,363.0,389.6,2642.3,82.1,0.2806,0.6905,0.156,0.3662,22
san_martin_sureste,39.72,3.28,618.0,149.4,3634.3,253.2,0.3328,0.5832,0.1926,0.3659,23
itaembe_mini,43.32,2.81,804.5,279.8,800.1,119.1,0.421,0.5352,0.1058,0.3607,24
san_lucas,41.94,2.91,393.4,342.2,1637.8,386.6,0.3872,0.5455,0.1359,0.3593,25
itaembe_pora,40.17,3.21,381.2,199.8,2274.0,218.6,0.3438,0.5761,0.1308,0.3496,26
dm_itaembe_mini_este,42.22,2.22,315.6,425.2,2670.6,103.1,0.394,0.475,0.1596,0.348,27
lomas_de_garupa,39.12,2.89,827.9,426.0,2126.7,262.4,0.3181,0.5434,0.1829,0.3451,28
monsenor_kemerer,38.61,3.24,639.6,543.1,1139.0,275.1,0.3056,0.5792,0.1489,0.3407,29
san_martin,33.22,4.72,485.2,348.3,2874.5,125.3,0.1735,0.7303,0.1705,0.3396,30
23_de_septiembre,31.04,5.97,800.7,29.0,1369.7,144.0,0.1201,0.858,0.0991,0.3352,31
nu_pora,39.11,3.17,387.9,351.2,1175.2,325.1,0.3178,0.572,0.1154,0.3333,32
dm_santa_rita,37.05,3.33,337.2,622.2,1991.3,116.9,0.2673,0.5884,0.1597,0.3314,33
chacra_32,30.28,5.96,232.0,55.6,2297.9,103.3,0.1014,0.857,0.0977,0.327,34
horacio_quiroga,43.12,1.21,699.5,56.3,3174.9,75.7,0.4161,0.3718,0.158,0.3254,35
posadas_completa,38.86,2.36,424.1,776.0,1489.9,193.3,0.3117,0.4893,0.1697,0.3224,36
fatima,42.62,1.77,718.0,372.6,240.8,309.4,0.4038,0.429,0.1032,0.3212,37
colonia_laosiana,47.93,-1.14,615.9,897.6,956.7,582.7,0.5339,0.1318,0.2026,0.3139,38
yacyreta,33.45,4.48,43.9,82.0,2488.9,163.8,0.1791,0.7058,0.0999,0.3133,39
santa_rita,34.89,3.92,164.9,149.9,1941.1,164.0,0.2144,0.6486,0.0953,0.3089,40
las_dolores,35.56,2.95,641.6,401.7,1794.8,409.9,0.2308,0.5495,0.166,0.307,41
miguel_lanus,38.58,2.87,584.8,144.1,615.6,108.1,0.3048,0.5414,0.0685,0.3049,42
san_jorge,38.05,,32.5,152.8,2224.5,427.9,0.2918,0.5,0.1155,0.3014,43
san_marcos,39.12,1.84,350.6,142.8,1948.2,325.9,0.3181,0.4362,0.1174,0.2933,44
dm_santa_rita_suroeste,30.47,4.32,189.4,112.3,3144.8,136.1,0.1061,0.6895,0.135,0.2898,45
dm_villa_urquiza_sureste,31.69,4.39,295.8,398.1,400.5,323.9,0.136,0.6966,0.0862,0.2892,46
luis_piedrabuena,34.71,2.61,211.0,319.0,2544.1,351.7,0.21,0.5148,0.1528,0.2843,47
villa_mola,31.62,3.92,307.8,399.9,1264.2,316.2,0.1343,0.6486,0.1186,0.2839,48
cima_del_sol,37.72,1.67,715.0,522.9,679.1,469.2,0.2838,0.4188,0.1475,0.2834,49
rocamora,29.22,4.8,227.4,144.7,2077.1,31.2,0.0755,0.7385,0.0947,0.2802,50
fatima_sur,37.0,,287.2,99.7,709.4,194.2,0.2661,0.5,0.0537,0.2726,51
dm_villa_urquiza,29.11,4.85,163.3,116.7,1257.4,124.0,0.0728,0.7436,0.0633,0.2712,52
cit_riberas_del_parana,31.54,2.85,552.9,307.9,3137.9,192.8,0.1323,0.5393,0.1844,0.27,53
el_palomar,27.41,5.29,422.0,45.8,705.8,334.6,0.0311,0.7886,0.0654,0.2686,54
villa_urquiza,30.59,4.5,293.4,32.1,460.1,53.2,0.109,0.7079,0.0275,0.2642,55
aguas_corrientes,28.4,4.74,138.1,57.9,1923.4,16.2,0.0554,0.7324,0.0722,0.2635,56
el_brete,31.87,2.35,163.5,183.9,3537.3,40.9,0.1404,0.4883,0.1498,0.2476,57
centro,26.14,4.63,37.6,92.8,1651.6,175.9,0.0,0.7211,0.0706,0.2375,58
cit_riberas_del_parana_oeste,33.84,1.58,116.9,359.5,1856.1,110.7,0.1887,0.4096,0.1098,0.2313,59
alta_gracia,27.19,3.47,54.8,80.9,2919.1,366.5,0.0257,0.6027,0.1301,0.2301,60
villa_sarita,27.46,3.5,117.8,72.1,2813.7,170.8,0.0323,0.6057,0.1159,0.2294,61
villa_cabello,34.11,1.84,284.3,126.5,303.1,132.7,0.1953,0.4362,0.0375,0.2202,62
bajada_vieja,27.49,,71.9,327.1,2651.1,236.2,0.0331,0.5,0.141,0.2055,63
el_laurel,39.7,-2.43,849.7,259.4,2227.3,197.7,0.3323,0.0,0.1643,0.1822,64
dm_miguel_lanus,33.21,0.28,156.7,144.8,1379.4,61.8,0.1732,0.2768,0.0665,0.1723,65
