poligono_id,fecha,anio,mes,viirs_mean,viirs_sum
itaembe_guazu,2014-01-01,2014,1,1.2635,67.86
itaembe_guazu,2014-07-01,2014,7,0.8981,48.23
itaembe_guazu,2015-01-01,2015,1,1.0122,54.36
itaembe_guazu,2015-07-01,2015,7,1.5564,83.59
itaembe_guazu,2016-01-01,2016,1,2.5015,134.35
itaembe_guazu,2016-07-01,2016,7,2.9721,159.62
itaembe_guazu,2017-01-01,2017,1,5.6459,303.22
itaembe_guazu,2017-07-01,2017,7,6.1904,332.46
itaembe_guazu,2018-01-01,2018,1,6.627,355.91
itaembe_guazu,2018-07-01,2018,7,8.7448,469.64
itaembe_guazu,2019-01-01,2019,1,10.0506,539.78
itaembe_guazu,2019-07-01,2019,7,15.0306,807.23
itaembe_guazu,2020-01-01,2020,1,15.5055,832.74
itaembe_guazu,2020-07-01,2020,7,15.0654,809.1
itaembe_guazu,2021-01-01,2021,1,17.6066,945.58
itaembe_guazu,2021-07-01,2021,7,19.111,1026.38
itaembe_guazu,2022-01-01,2022,1,22.016,1182.39
itaembe_guazu,2022-07-01,2022,7,18.7028,1004.45
itaembe_guazu,2023-01-01,2023,1,24.7256,1327.91
itaembe_guazu,2023-07-01,2023,7,25.8726,1389.51
itaembe_guazu,2024-01-01,2024,1,26.9021,1444.8
itaembe_guazu,2024-07-01,2024,7,28.9393,1554.21
itaembe_guazu,2025-01-01,2025,1,33.4782,1797.97
itaembe_guazu,2025-07-01,2025,7,31.7673,1706.09
itaembe_guazu,2026-01-01,2026,1,34.0558,1829.0
itaembe_mini,2014-01-01,2014,1,29.4312,529.88
itaembe_mini,2014-07-01,2014,7,24.6757,444.26
itaembe_mini,2015-01-01,2015,1,21.3089,383.64
itaembe_mini,2015-07-01,2015,7,31.4875,566.9
itaembe_mini,2016-01-01,2016,1,26.4309,475.86
itaembe_mini,2016-07-01,2016,7,31.7821,572.2
itaembe_mini,2017-01-01,2017,1,28.1895,507.52
itaembe_mini,2017-07-01,2017,7,28.2316,508.28
itaembe_mini,2018-01-01,2018,1,25.4288,457.82
itaembe_mini,2018-07-01,2018,7,29.3613,528.62
itaembe_mini,2019-01-01,2019,1,25.4297,457.83
itaembe_mini,2019-07-01,2019,7,27.4159,493.59
itaembe_mini,2020-01-01,2020,1,25.8086,464.66
itaembe_mini,2020-07-01,2020,7,25.2116,453.91
itaembe_mini,2021-01-01,2021,1,24.2345,436.32
itaembe_mini,2021-07-01,2021,7,24.6546,443.88
itaembe_mini,2022-01-01,2022,1,27.9331,502.91
itaembe_mini,2022-07-01,2022,7,24.9899,449.92
itaembe_mini,2023-01-01,2023,1,23.8655,429.67
itaembe_mini,2023-07-01,2023,7,25.941,467.04
itaembe_mini,2024-01-01,2024,1,25.1066,452.02
itaembe_mini,2024-07-01,2024,7,27.3439,492.3
itaembe_mini,2025-01-01,2025,1,28.205,507.8
itaembe_mini,2025-07-01,2025,7,28.3154,509.79
itaembe_mini,2026-01-01,2026,1,27.7541,499.68
chacra_32,2014-01-01,2014,1,61.8579,1114.65
chacra_32,2014-07-01,2014,7,52.4347,944.85
chacra_32,2015-01-01,2015,1,46.4531,837.07
chacra_32,2015-07-01,2015,7,70.3514,1267.7
chacra_32,2016-01-01,2016,1,53.013,955.27
chacra_32,2016-07-01,2016,7,65.174,1174.41
chacra_32,2017-01-01,2017,1,56.0714,1010.38
chacra_32,2017-07-01,2017,7,62.0063,1117.33
chacra_32,2018-01-01,2018,1,51.4842,927.73
chacra_32,2018-07-01,2018,7,56.5486,1018.98
chacra_32,2019-01-01,2019,1,48.5144,874.21
chacra_32,2019-07-01,2019,7,54.7462,986.51
chacra_32,2020-01-01,2020,1,45.3973,818.04
chacra_32,2020-07-01,2020,7,48.174,868.08
chacra_32,2021-01-01,2021,1,48.9531,882.12
chacra_32,2021-07-01,2021,7,53.6558,966.86
chacra_32,2022-01-01,2022,1,59.298,1068.53
chacra_32,2022-07-01,2022,7,55.6794,1003.32
chacra_32,2023-01-01,2023,1,60.8401,1096.32
chacra_32,2023-07-01,2023,7,60.0954,1082.89
chacra_32,2024-01-01,2024,1,59.5999,1073.97
chacra_32,2024-07-01,2024,7,65.5827,1181.77
chacra_32,2025-01-01,2025,1,67.6219,1218.52
chacra_32,2025-07-01,2025,7,69.5397,1253.08
chacra_32,2026-01-01,2026,1,71.302,1284.83
villa_cabello,2014-01-01,2014,1,59.0903,1064.09
villa_cabello,2014-07-01,2014,7,45.0044,810.43
villa_cabello,2015-01-01,2015,1,35.4587,638.54
villa_cabello,2015-07-01,2015,7,53.0374,955.09
villa_cabello,2016-01-01,2016,1,45.6614,822.26
villa_cabello,2016-07-01,2016,7,52.7499,949.91
villa_cabello,2017-01-01,2017,1,47.3918,853.42
villa_cabello,2017-07-01,2017,7,48.0772,865.77
villa_cabello,2018-01-01,2018,1,41.7038,751.0
villa_cabello,2018-07-01,2018,7,45.748,823.82
villa_cabello,2019-01-01,2019,1,38.6899,696.72
villa_cabello,2019-07-01,2019,7,35.6236,641.5
villa_cabello,2020-01-01,2020,1,35.8387,645.38
villa_cabello,2020-07-01,2020,7,33.9363,611.12
villa_cabello,2021-01-01,2021,1,33.9997,612.26
villa_cabello,2021-07-01,2021,7,41.016,738.61
villa_cabello,2022-01-01,2022,1,42.4185,763.87
villa_cabello,2022-07-01,2022,7,34.9056,628.58
villa_cabello,2023-01-01,2023,1,34.702,624.91
villa_cabello,2023-07-01,2023,7,39.6682,714.34
villa_cabello,2024-01-01,2024,1,35.1423,632.84
villa_cabello,2024-07-01,2024,7,34.3008,617.68
villa_cabello,2025-01-01,2025,1,34.8449,627.48
villa_cabello,2025-07-01,2025,7,36.1136,650.33
villa_cabello,2026-01-01,2026,1,35.319,636.02
el_brete,2014-01-01,2014,1,83.8498,228.2
el_brete,2014-07-01,2014,7,54.5471,148.45
el_brete,2015-01-01,2015,1,46.6212,126.88
el_brete,2015-07-01,2015,7,53.3604,145.22
el_brete,2016-01-01,2016,1,57.8736,157.51
el_brete,2016-07-01,2016,7,57.8436,157.43
el_brete,2017-01-01,2017,1,58.2778,158.61
el_brete,2017-07-01,2017,7,57.2425,155.79
el_brete,2018-01-01,2018,1,43.6381,118.76
el_brete,2018-07-01,2018,7,53.0718,144.44
el_brete,2019-01-01,2019,1,57.323,156.01
el_brete,2019-07-01,2019,7,52.1719,141.99
el_brete,2020-01-01,2020,1,46.7198,127.15
el_brete,2020-07-01,2020,7,36.6113,99.64
el_brete,2021-01-01,2021,1,39.175,106.62
el_brete,2021-07-01,2021,7,44.9859,122.43
el_brete,2022-01-01,2022,1,43.3168,117.89
el_brete,2022-07-01,2022,7,42.4632,115.57
el_brete,2023-01-01,2023,1,50.5336,137.53
el_brete,2023-07-01,2023,7,47.3455,128.85
el_brete,2024-01-01,2024,1,42.9997,117.03
el_brete,2024-07-01,2024,7,40.6361,110.59
el_brete,2025-01-01,2025,1,51.3762,139.82
el_brete,2025-07-01,2025,7,53.5189,145.66
el_brete,2026-01-01,2026,1,38.8907,105.84
